,Strategy,matches_v_random,matches_v_rotate,matches_v_random3,matches_v_rotate0,matches_v_radicaleq,matches_v_caste,matches_v_equalize,matches_v_turntaking,matches_v_challenger,wins_v_random,wins_v_rotate,wins_v_random3,wins_v_rotate0,wins_v_radicaleq,wins_v_caste,wins_v_equalize,wins_v_turntaking,wins_v_challenger,edge_v_random,edge_v_rotate,edge_v_random3,edge_v_rotate0,edge_v_radicaleq,edge_v_caste,edge_v_equalize,edge_v_turntaking,edge_v_challenger,wins_v_self,ewins_v_random,ewins_v_rotate,ewins_v_random3,ewins_v_rotate0,ewins_v_radicaleq,ewins_v_caste,ewins_v_equalize,ewins_v_turntaking,ewins_v_challenger,mean_ewins,trueskill
challenger,challenger,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,-0.63,-0.88,-0.2,-0.34,-0.96,-0.96,-0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81981619097686
turntaking,turntaking,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.57,0.5,0.58,0.55,0.47,0.65,0.64,0.83,0.98,0.34,0.15,0.23,0.22,0.02,0.64,-0.0,0.0,0.96,0.83,0.83,0.83,0.83,0.83,0.5082,0.83,0.64,0.83,0.83,0.7731333333333332,49.023249263139036
equalize,equalize,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.59,0.46,0.66,0.79,0.83,0.06,0.83,0.64,0.98,0.34,0.17,0.33,0.45,0.0,0.01,0.0,0.0,0.96,0.83,0.83,0.83,0.83,0.83,0.83,0.0624,0.83,0.64,0.83,0.7235999999999999,46.8926477943529
caste,caste,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.58,0.45,0.67,0.8,0.4,0.83,0.06,0.65,0.98,0.32,0.3,0.07,0.03,0.18,0.0,-0.01,-0.64,0.96,0.83,0.83,0.83,0.83,0.83,0.8089,0.83,0.0577,0.0532,0.83,0.6555333333333333,45.3590265768988
radicaleq,radicaleq,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.42,0.45,0.48,0.4,0.83,0.22,0.83,0.44,0.35,0.18,-0.02,0.14,0.18,0.0,-0.18,0.0,-0.02,0.34,0.83,0.83,0.4161,0.83,0.8089,0.83,0.1088,0.83,0.4069,0.83,0.6545222222222222,44.23578778370954
rotate0,rotate0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.49,0.43,0.69,0.83,0.34,0.74,0.64,0.39,0.67,0.02,-0.16,-0.24,0.0,-0.18,-0.03,-0.45,-0.22,0.2,0.83,0.5299,0.2299,0.2698,0.83,0.1681,0.6581,0.1101,0.1649,0.83,0.4212,43.73508086018157
random3,random3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.53,0.39,0.6,0.71,0.45,0.44,0.47,0.44,0.94,0.29,0.16,0.0,0.24,-0.14,-0.07,-0.33,-0.23,0.88,0.6,0.6,0.6,0.6,0.6,0.2602,0.3346,0.1293,0.1789,0.6,0.43366666666666664,41.66749361192632
rotate,rotate,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.49,0.83,0.32,0.43,0.45,0.3,0.32,0.34,0.67,0.22,0.0,-0.16,0.16,0.02,-0.3,-0.17,-0.15,0.63,0.83,0.83,0.83,0.1711,0.8041,0.4866,0.0928,0.1646,0.1891,0.83,0.4886999999999999,38.269661857121754
random,random,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.33,0.29,0.26,0.29,0.3,0.25,0.23,0.24,0.47,0.0,-0.22,-0.29,-0.02,-0.18,-0.32,-0.34,-0.34,0.38,0.33,0.33,0.1226,0.0836,0.2682,0.1484,0.0715,0.0608,0.0635,0.33,0.16428888888888887,31.750527071980194
